% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=965966, Sat Mar 21 15:51:43 2020
1 16 -0.044863787998208456 -0.001113969290530096 0.00011133358240787834 0.03923001413468374 1 1 1 1 1 1 1 1 1 1 1 1
2 32 -0.06563804841366622 -0.0010787475257873233 0.00018125376163124931 0.0793163153599159 1 1 1 1 1 1 1 1 1 1 1 1
3 48 -0.054046070843670205 -0.0006923114914768808 0.0018559913039684454 0.08576162780460131 1 1 1 1 1 1 1 1 1 1 1 1
4 64 -0.07590332365977379 -0.00036732045862681494 0.0010649972153574001 0.11992077490689954 1 1 1 1 1 1 1 1 1 1 1 1
5 80 -0.07824972976421309 -7.5668304767522e-05 0.0005288475674800469 0.13309468323617762 1 1 1 1 1 1 1 1 1 1 1 1
6 96 -0.1274646244852036 -0.004519152205037832 0.0004898362327360326 0.13896053467879327 1 1 1 1 1 1 1 1 1 1 1 1
7 112 -0.12110911593478772 -0.00024395228029500758 0.0017870630666662302 0.13766394554063033 1 1 1 1 1 1 1 1 1 1 1 1
8 128 -0.1180946804050309 -0.0035323831815718045 0.0019577507678586463 0.16064655044068524 1 1 1 1 1 1 1 1 1 1 1 1
9 144 -0.13093103331995457 -0.0019293583397266211 0.005111418911450662 0.16032190637353047 1 1 1 1 1 1 1 1 1 1 1 1
10 160 -0.18916900746607077 -0.007971945806741322 0.0012327235197225088 0.2082732564903544 1 1 1 1 1 1 1 1 1 1 1 1
11 176 -0.18820248688329763 -0.0011856702468328465 0.004474865600392414 0.23250427417618694 1 1 1 1 1 1 1 1 1 1 1 1
12 192 -0.19396497947053892 -0.0033824588916286135 0.011627236976030018 0.23796144228864566 1 1 1 1 1 1 1 1 1 1 1 1
13 208 -0.1768705925541482 -0.00534212411217367 0.002135052990133658 0.25343763840952604 1 1 1 1 1 1 1 1 1 1 1 1
14 224 -0.1799072940978045 -0.007046117444520376 0.01058773162054101 0.2624686214945518 1 1 1 1 1 1 1 1 1 1 1 1
15 240 -0.19021939919987937 -0.001958674983870653 1.3454395656330407e-05 0.2766118788923209 1 1 1 1 1 1 1 1 1 1 1 1
